DLHRWAGE,DEDUC1,AGE,AGESQ,LHRWAGEH,WHITEH,MALEH,EDUCH,LHRWAGEL,WHITEL,MALEL,EDUCL,DEDUC2,DTEN,DMARRIED,DUNCOV
0.2593466,0,33.25119781,1105.6421558,2.4203681287,1,0,16,2.1610215287,1,0,16,0,1.333,0,0
,-1,54.05338809,2921.768764,,1,0,9,2.0605135318,1,0,10,1,8,1,0
0.7213180575,7,43.570157426,1898.3586182,2.8903717579,1,0,19,2.1690537004,1,0,12,4,3,-1,0
0.0115819643,0,30.967830253,959.00651059,2.8033603809,1,1,12,2.7917784166,1,1,12,0,-2,0,1
-0.560984677,0,34.633812457,1199.5009653,2.2633659798,1,1,14,2.8243506568,1,1,14,1,2.917,0,-1
,2,71.603011636,5126.9912753,,1,0,16,,1,0,14,-2,24,1,0
1.5232602162,-2,34.978781656,1223.5151662,3.5553480615,1,0,13,2.0320878453,1,0,15,-2,3,1,0
,-1,61.451060917,3776.2328878,3.5553480615,1,0,13,,1,0,14,-2,25.5,0,0
-0.223143551,-2,29.338809035,860.76571559,2.4849066498,1,1,12,2.7080502011,1,1,14,1,1,-1,0
-0.470003629,0,47.605749487,2266.3073842,1.8325814637,1,0,12,2.302585093,1,0,12,0,-5,0,0
0.0517510651,-1,51.901437372,2693.7592012,2.8478121435,1,1,12,2.7960610784,1,1,13,-2,9,0,0
0.2876820725,0,36.076659822,1301.5253839,2.7725887222,1,1,12,2.4849066498,1,1,12,0,5,0,0
,4,32.082135524,1029.2634198,,1,0,16,3.4420193762,1,0,12,4,-9.5,0,0
-0.470003629,-2,48.120465435,2315.5791936,2.7488721956,1,0,17,3.2188758249,1,0,19,-3,-7,0,0
0.3056012287,2,33.954825462,1152.9301722,2.2782924004,1,0,14,1.9726911717,1,0,12,2,,0,-1
,4,36.041067762,1298.9585654,,1,0,18,,1,0,14,4,,-1,0
-0.336472237,0,27.175906913,738.52991655,0.5798184953,1,0,16,0.9162907319,1,0,16,0,0.417,0,0
,1,24.544832307,602.44879296,1.6582280766,1,1,13,,1,1,12,0,,1,0
0.6286086594,2,39.34017796,1547.6496019,2.7080502011,1,1,14,2.0794415417,1,1,12,-2,15,1,1
0.3215836241,1,38.532511978,1484.7544793,2.7080502011,1,1,13,2.386466577,1,1,12,-1,0,0,0
,0,24.657084189,607.9718007,2.1633230257,1,0,12,,1,0,12,0,-2,0,1
-0.378653851,1,23.682409309,560.85651066,2.4347568661,1,0,17,2.8134107168,1,0,16,1,-0.5,0,1
-0.078555719,3,35.663244353,1271.8669978,2.5997223242,1,0,15,2.6782780428,1,0,12,2,4,0,-1
-0.3254224,0,21.349760438,455.81227076,1.8718021769,0,1,14,2.1972245773,0,1,14,0,-0.083,0,0
